replication,seed,mechanismID,mechanismLabel,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
14,14,M5_timing,M5 + Policy timing,coordinated,Coordinated,118.727963490732,250.652949553469,1683.37030662058,267,4635,1709,2926
14,14,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,119.788832255128,246.716764243454,1669.8131502484,257,4651,1710,2941
15,15,M0_minimal,M0 Minimal adaptation,baseline,Baseline,101.378566147832,449.965877829357,3036.45936483111,0,2958,1290,1668
15,15,M1_choice,M1 + Softmax choice,baseline,Baseline,97.4233271451056,449.965877829357,3036.45936483111,0,3676,1158,2518
15,15,M2_frictions,M2 + Switching costs,baseline,Baseline,105.76543299261,449.965877829357,3036.45936483111,0,2380,1136,1244
15,15,M3_recovery,M3 + Recovery,baseline,Baseline,128.328380711341,347.467752160738,2385.59582901859,108,2682,1126,1556
15,15,M4_regulation,M4 + Regulation,baseline,Baseline,128.328380711341,347.467752160738,2385.59582901859,108,2682,1126,1556
15,15,M4_regulation,M4 + Regulation,coordinated,Coordinated,123.918066886496,244.332661379385,1688.74344208301,266,4856,1812,3044
15,15,M5_timing,M5 + Policy timing,baseline,Baseline,128.328380711341,347.467752160738,2385.59582901859,108,2682,1126,1556
15,15,M5_timing,M5 + Policy timing,early_mover,Early Mover,124.986036867368,260.890491487748,1741.3520729296,257,4803,1761,3042
15,15,M5_timing,M5 + Policy timing,sequential,Sequential,125.539838155139,241.300260404474,1663.45808865912,261,4921,1833,3088
15,15,M5_timing,M5 + Policy timing,coordinated,Coordinated,123.918066886496,244.332661379385,1688.74344208301,266,4856,1812,3044
15,15,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,124.178653969066,248.21847912164,1678.79060625362,255,4894,1826,3068
16,16,M0_minimal,M0 Minimal adaptation,baseline,Baseline,98.8907938918059,443.124742279781,2981.23673946618,0,3099,1252,1847
16,16,M1_choice,M1 + Softmax choice,baseline,Baseline,92.8520856032096,443.124742279781,2981.23673946618,0,3883,1175,2708
16,16,M2_frictions,M2 + Switching costs,baseline,Baseline,101.386493193018,443.124742279781,2981.23673946618,0,2705,984,1721
16,16,M3_recovery,M3 + Recovery,baseline,Baseline,129.182409337563,313.261577286303,2206.70710788291,140,3196,1035,2161
16,16,M4_regulation,M4 + Regulation,baseline,Baseline,129.182409337563,313.261577286303,2206.70710788291,140,3196,1035,2161
