replication,seed,scenario_id,scenario_name,final_fitness,final_risk_original,final_risk_permuted,delta_risk_permutation_minus_original,final_trade,total_switches
28,28,delayed_coordination,Delayed Coordination,117.322186732693,250.657033646103,228.94715716192,-21.7098764841828,1640.39616520006,4484
29,29,baseline,Baseline,129.037066993585,305.010777454786,321.995801845018,16.9850243902319,2233.56764127595,3327
29,29,early_mover,Early Mover,126.45907570253,216.3795932513,236.108929433557,19.7293361822571,1611.51876896182,5280
29,29,sequential,Sequential,125.846834172199,214.674722493752,224.218896879963,9.54417438621135,1522.86560168508,5306
29,29,coordinated,Coordinated,123.26176108053,219.180351517578,234.081436587352,14.9010850697739,1568.42567592571,5291
29,29,delayed_coordination,Delayed Coordination,123.006195486447,214.864852685979,228.175958564601,13.3111058786217,1560.37550662005,5318
30,30,baseline,Baseline,127.372537620076,340.704187610911,349.862039605256,9.15785199434532,2342.85360275288,2599
30,30,early_mover,Early Mover,120.08014978389,259.165409040523,250.483422594514,-8.68198644600929,1823.18651812331,4222
30,30,sequential,Sequential,118.227195897057,257.037926909716,258.568625696382,1.53069878666645,1750.54922048735,4308
30,30,coordinated,Coordinated,116.010398661441,257.564145489519,253.370694486411,-4.19345100310858,1807.1542031432,4293
30,30,delayed_coordination,Delayed Coordination,121.307935273761,248.853383655047,251.338643043302,2.48525938825429,1705.17607756443,4475
31,31,baseline,Baseline,129.274033450243,319.807345600082,327.213306122703,7.40596052262094,2255.40130886923,2849
31,31,early_mover,Early Mover,133.426529236322,214.43814883905,220.622920645307,6.18477180625729,1508.13925474685,5255
31,31,sequential,Sequential,126.640735755434,214.12758838419,211.197948210404,-2.92964017378577,1489.55265064281,5195
31,31,coordinated,Coordinated,119.600058473257,232.13767188199,226.448656536697,-5.68901534529277,1594.79424127432,4530
31,31,delayed_coordination,Delayed Coordination,127.654454591205,208.634795000645,213.423068166321,4.78827316567632,1475.52878977026,5238
32,32,baseline,Baseline,125.88325992437,358.804389536987,354.687899600629,-4.11648993635828,2355.19276552215,2915
32,32,early_mover,Early Mover,121.643809072626,250.660872038788,241.891165173607,-8.7697068651803,1706.44305839995,4744
32,32,sequential,Sequential,118.670810424502,246.519429983052,231.162232684546,-15.3571972985059,1661.14983128908,4644
32,32,coordinated,Coordinated,117.788956135187,269.515290850829,247.296103830739,-22.2191870200904,1742.07828766479,4491
