replication,seed,scenario_id,delta_final_risk_vs_permuted_baseline
90,90,coordinated,-90.8191399431839
90,90,delayed_coordination,-110.149324465412
91,91,baseline,0
91,91,early_mover,-137.908064139837
91,91,sequential,-141.290075878732
91,91,coordinated,-145.835426305328
91,91,delayed_coordination,-137.771699323263
92,92,baseline,0
92,92,early_mover,-109.882461037265
92,92,sequential,-122.4432788968
92,92,coordinated,-111.084821618704
92,92,delayed_coordination,-121.998305126607
93,93,baseline,0
93,93,early_mover,-120.130868812888
93,93,sequential,-121.668543527238
93,93,coordinated,-127.290530226656
93,93,delayed_coordination,-135.426090405489
94,94,baseline,0
94,94,early_mover,-112.882871463973
94,94,sequential,-133.456401850022
94,94,coordinated,-120.927379566361
94,94,delayed_coordination,-133.698196123756
95,95,baseline,0
95,95,early_mover,-127.101286764306
95,95,sequential,-138.49653091022
95,95,coordinated,-120.9653809503
95,95,delayed_coordination,-142.09197337351
96,96,baseline,0
96,96,early_mover,-103.551750198433
96,96,sequential,-115.358843242151
96,96,coordinated,-112.967784047014
96,96,delayed_coordination,-128.709333133912
97,97,baseline,0
97,97,early_mover,-124.603337076222
97,97,sequential,-129.807902890741
97,97,coordinated,-120.886139896556
97,97,delayed_coordination,-126.261063630532
98,98,baseline,0
98,98,early_mover,-90.2117464421726
98,98,sequential,-109.476139463719
98,98,coordinated,-123.613485502109
98,98,delayed_coordination,-116.851534494967
99,99,baseline,0
99,99,early_mover,-143.623232115279
99,99,sequential,-146.424672148249
99,99,coordinated,-113.438589668208
99,99,delayed_coordination,-149.697763975014
100,100,baseline,0
100,100,early_mover,-118.924672385153
100,100,sequential,-117.182928358022
100,100,coordinated,-134.953091942834
100,100,delayed_coordination,-145.97919602216
