replication,seed,beta,scenario_id,scenario_name,final_fitness,final_risk,final_trade,final_recovering_links,total_switches,local_switches,global_switches
9,9,2,baseline,Baseline,124.368075578415,381.314619703499,2540.76071126313,105,2094,711,1383
9,9,2,early_mover,Early Mover,135.248560772521,244.034998917026,1577.64774652886,295,4977,1245,3732
9,9,2,sequential,Sequential,135.861882057288,232.151937421681,1508.22029732345,308,5076,1270,3806
9,9,2,coordinated,Coordinated,126.330883014612,291.591960153416,1745.70661263287,264,4186,1188,2998
9,9,2,delayed_coordination,Delayed Coordination,134.283687960791,235.504354172133,1520.13368161956,306,5054,1222,3832
9,9,4,baseline,Baseline,126.134336117382,382.651208075247,2533.70637661774,102,2140,723,1417
9,9,4,early_mover,Early Mover,120.957762088491,262.874877904633,1756.3419483951,267,4176,1204,2972
9,9,4,sequential,Sequential,116.781642670766,260.378744118661,1795.72899660208,264,4113,1321,2792
9,9,4,coordinated,Coordinated,119.173098364895,268.676482254043,1741.29442952014,244,4152,1265,2887
9,9,4,delayed_coordination,Delayed Coordination,118.844664856434,259.289461261696,1708.31321384727,259,4244,1257,2987
9,9,8,baseline,Baseline,123.380699772768,388.299242911523,2576.77377323328,95,2022,641,1381
9,9,8,early_mover,Early Mover,114.503489923874,296.590711089797,1966.79273830398,217,3613,1196,2417
9,9,8,sequential,Sequential,111.594410912904,304.331208176195,1929.54670813076,221,3552,1245,2307
9,9,8,coordinated,Coordinated,111.330418007762,284.515884673884,1884.88190867941,214,3654,1217,2437
9,9,8,delayed_coordination,Delayed Coordination,113.155305244205,294.244581603973,1922.42701008469,215,3590,1227,2363
10,10,2,baseline,Baseline,121.273622119848,376.6959039758,2612.72031292726,87,1788,549,1239
10,10,2,early_mover,Early Mover,130.712204487607,249.630819267511,1702.96776466461,272,4666,944,3722
10,10,2,sequential,Sequential,130.134642890685,244.656467091036,1578.4017064065,291,4905,989,3916
10,10,2,coordinated,Coordinated,127.003739226502,251.631147736533,1632.64683843056,281,4905,1060,3845
10,10,2,delayed_coordination,Delayed Coordination,132.170100486008,239.472801731595,1538.76054849017,296,4984,972,4012
10,10,4,baseline,Baseline,121.12507650568,377.312450933345,2611.49638986085,87,1773,548,1225
10,10,4,early_mover,Early Mover,122.017903050189,269.116308479342,1830.55598704268,240,4265,977,3288
10,10,4,sequential,Sequential,121.872879253166,256.047833224991,1695.83250306106,269,4478,1031,3447
10,10,4,coordinated,Coordinated,121.812759230717,261.490199460016,1722.62174709098,273,4528,1120,3408
10,10,4,delayed_coordination,Delayed Coordination,122.184603967106,258.900664659112,1695.17254554805,274,4486,1092,3394
10,10,8,baseline,Baseline,120.938967095387,382.977735422677,2627.12535005859,83,1752,572,1180
10,10,8,early_mover,Early Mover,113.38516876919,284.301608036504,1911.28275427011,241,3715,1110,2605
10,10,8,sequential,Sequential,112.288637130215,282.438278245365,1808.15815859768,246,3817,1158,2659
10,10,8,coordinated,Coordinated,109.161513179944,283.725562328223,1920.99663759801,222,3723,1171,2552
10,10,8,delayed_coordination,Delayed Coordination,115.923656103521,269.430204925059,1764.21826982195,252,3942,1242,2700
11,11,2,baseline,Baseline,123.677760606044,356.089683538838,2511.8743934599,109,2142,519,1623
11,11,2,early_mover,Early Mover,127.911846701854,244.298402418786,1709.63401724203,272,4619,867,3752
11,11,2,sequential,Sequential,126.485592198494,229.49288082756,1640.41305888562,290,4651,948,3703
11,11,2,coordinated,Coordinated,127.574190573236,226.743251651225,1751.29687373248,271,4540,968,3572
11,11,2,delayed_coordination,Delayed Coordination,128.834726033622,228.832261912055,1616.43957888595,295,4747,930,3817
11,11,4,baseline,Baseline,122.538837882093,365.505860819239,2526.48078579143,107,2006,467,1539
11,11,4,early_mover,Early Mover,118.958112789984,271.051925374149,1899.99982054976,239,3863,906,2957
11,11,4,sequential,Sequential,120.06595640572,263.090725743482,1751.64306621395,256,4126,985,3141
11,11,4,coordinated,Coordinated,116.304090557919,263.573258379985,1824.60917131536,255,3996,953,3043
11,11,4,delayed_coordination,Delayed Coordination,119.239300542657,258.06742376554,1785.40466901081,249,3947,924,3023
11,11,8,baseline,Baseline,121.03053042904,367.176771972584,2555.31403421031,96,1898,454,1444
11,11,8,early_mover,Early Mover,107.736881011217,282.207083265284,2049.12187627269,198,3308,803,2505
11,11,8,sequential,Sequential,103.785343732361,277.272110424253,2040.83513231985,206,3309,822,2487
11,11,8,coordinated,Coordinated,107.816305983742,268.023384072411,1924.80617080643,238,3486,913,2573
11,11,8,delayed_coordination,Delayed Coordination,104.921704058809,274.030510292596,2035.69129587104,202,3269,824,2445
12,12,2,baseline,Baseline,126.004331579204,307.982069496203,2302.46491041496,144,2876,565,2311
12,12,2,early_mover,Early Mover,120.427160266736,247.771188211879,1649.51824241328,251,4609,942,3667
12,12,2,sequential,Sequential,124.246439596393,224.913618433145,1535.50604247364,286,4839,1030,3809
