replication,seed,beta,scenario_id,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_total_switches_vs_baseline
17,17,4,delayed_coordination,-1.20546634820138,-138.808973959467,-885.877637040657,2455
17,17,8,baseline,0,0,0,0
17,17,8,early_mover,-8.42292741633817,-113.216474351989,-710.992328209539,1991
17,17,8,sequential,-11.2785860308371,-122.375818366558,-769.745946086737,1955
17,17,8,coordinated,-16.4708480583383,-117.37111720459,-599.261255146245,1454
17,17,8,delayed_coordination,-9.95274202124723,-126.810819319365,-803.008899670054,1956
18,18,2,baseline,0,0,0,0
18,18,2,early_mover,3.85572625630626,-100.710839769679,-874.720540356853,2625
18,18,2,sequential,5.55262297083773,-109.461168126155,-906.320207942584,2777
18,18,2,coordinated,12.0854636080454,-123.784763535467,-950.275018783546,3054
18,18,2,delayed_coordination,7.98044394176766,-111.492848401832,-938.430809264605,2754
18,18,4,baseline,0,0,0,0
18,18,4,early_mover,-0.688627176180432,-96.5494555145658,-792.356719047988,2485
18,18,4,sequential,1.40651499301877,-109.182880687792,-870.213521594432,2649
18,18,4,coordinated,0.504584206205806,-107.877711532633,-826.643158528555,2573
18,18,4,delayed_coordination,2.7087146577509,-114.964670789146,-851.072675616104,2634
18,18,8,baseline,0,0,0,0
18,18,8,early_mover,-5.88758838017128,-79.0150318768871,-716.236448354561,2070
18,18,8,sequential,-8.19118639359809,-89.5127001769873,-740.705619699953,2053
18,18,8,coordinated,-12.421725368783,-78.1201022261649,-603.036859401217,1726
18,18,8,delayed_coordination,-6.83105278170891,-92.6410351474481,-786.713865731897,2205
19,19,2,baseline,0,0,0,0
19,19,2,early_mover,2.70248184722936,-110.912880050532,-746.31542475032,2418
19,19,2,sequential,1.59416999437417,-115.533279647493,-806.236124193451,2488
19,19,2,coordinated,3.40060404484232,-120.258663703957,-809.240580582035,2615
19,19,2,delayed_coordination,1.64439122210513,-114.680845440251,-803.555764729911,2465
19,19,4,baseline,0,0,0,0
19,19,4,early_mover,-5.91253094144538,-84.1986938175718,-620.834539036756,1630
19,19,4,sequential,-6.28133841897363,-89.782106458024,-687.96630922056,1796
