replication,seed,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
26,26,coordinated,Coordinated,120.58788056317,265.596671420771,1743.93101829442,258,4002,1094,2908
26,26,delayed_coordination,Delayed Coordination,123.54893461304,259.134875224235,1734.85502583269,271,4074,1142,2932
27,27,baseline,Baseline,123.484148831971,354.950461734877,2485.3260833099,106,2314,395,1919
27,27,early_mover,Early Mover,125.822505915966,226.755769144439,1643.15696288158,265,4796,1093,3703
27,27,sequential,Sequential,126.282287868792,222.486083379042,1533.59727158169,283,4771,1177,3594
27,27,coordinated,Coordinated,121.628337103572,251.132860819633,1625.54520729583,249,4419,1139,3280
27,27,delayed_coordination,Delayed Coordination,122.084769490352,233.801518788864,1580.9092070057,284,4811,1167,3644
28,28,baseline,Baseline,123.934316562996,348.346477928763,2507.68635842833,103,2183,443,1740
28,28,early_mover,Early Mover,117.963015996936,248.577210867119,1786.75182866457,260,4312,1085,3227
28,28,sequential,Sequential,119.437686011607,240.785502165615,1662.06855899733,279,4483,1134,3349
28,28,coordinated,Coordinated,114.560932939789,247.461441826165,1721.14770249242,272,4190,1014,3176
28,28,delayed_coordination,Delayed Coordination,117.179516268576,238.387391703469,1687.72083657792,282,4434,1088,3346
29,29,baseline,Baseline,122.311664000477,352.660497117094,2472.58628109562,98,2055,474,1581
29,29,early_mover,Early Mover,121.926515644545,273.315203268911,1750.78190722369,240,3969,1074,2895
29,29,sequential,Sequential,120.005624472645,254.226210134687,1672.26842107193,252,3991,1148,2843
29,29,coordinated,Coordinated,116.278263180047,243.583476351812,1710.64853864346,257,3907,1194,2713
29,29,delayed_coordination,Delayed Coordination,120.46769158865,249.058979702184,1687.22340086963,270,4057,1125,2932
30,30,baseline,Baseline,127.051171193614,343.379555524151,2442.23337820158,102,2148,613,1535
30,30,early_mover,Early Mover,122.006903811516,257.245291121238,1816.46388029038,235,3976,1088,2888
30,30,sequential,Sequential,121.07997686861,238.809366144557,1730.17580956723,257,4089,1209,2880
30,30,coordinated,Coordinated,122.792371990847,234.784855554986,1691.38527252803,262,4351,1247,3104
