replication,seed,scenario_id,scenario_name,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_recovering_links_vs_baseline,delta_total_switches_vs_baseline
36,36,coordinated,Coordinated,-8.36792736692706,-110.919207339333,-733.384687483716,145,1821
36,36,delayed_coordination,Delayed Coordination,-5.00499591756412,-119.717049318545,-808.217667481574,170,1890
37,37,baseline,Baseline,0,0,0,0,0
37,37,early_mover,Early Mover,-3.47854200342822,-92.0433828002897,-676.333068164955,137,2064
37,37,sequential,Sequential,-5.58457855200751,-104.265038389476,-742.926667756598,158,2160
37,37,coordinated,Coordinated,-4.25067038789724,-101.233295109077,-717.590131431428,155,2019
37,37,delayed_coordination,Delayed Coordination,-5.27264042668908,-98.6355097778327,-739.338311511963,156,2125
38,38,baseline,Baseline,0,0,0,0,0
38,38,early_mover,Early Mover,-8.01051191377171,-72.9326953260812,-596.802826086559,106,1345
38,38,sequential,Sequential,-6.91537147092518,-83.6227210621925,-695.427096022678,131,1448
38,38,coordinated,Coordinated,-8.17497714529632,-77.1664823604959,-646.706798720592,120,1482
38,38,delayed_coordination,Delayed Coordination,-5.78350568473859,-84.1101917164833,-714.182149883382,123,1417
39,39,baseline,Baseline,0,0,0,0,0
39,39,early_mover,Early Mover,-4.18792664354379,-116.535837883839,-742.20102792821,149,2135
39,39,sequential,Sequential,-7.7752377800233,-123.800195958982,-768.871676373,122,2027
39,39,coordinated,Coordinated,-13.5222710939411,-110.763813371578,-685.716453585711,145,1827
39,39,delayed_coordination,Delayed Coordination,-6.13737762979687,-128.108046347445,-795.015976365294,139,2079
40,40,baseline,Baseline,0,0,0,0,0
40,40,early_mover,Early Mover,-0.261249974408003,-106.908735339202,-813.723374474147,161,2209
40,40,sequential,Sequential,-4.31790035563938,-114.27335621979,-849.163109765927,163,2168
40,40,coordinated,Coordinated,-6.56581298930112,-105.552809425879,-822.741008732843,173,2078
40,40,delayed_coordination,Delayed Coordination,-5.15200458407303,-114.516301843737,-856.601830887377,174,2160
41,41,baseline,Baseline,0,0,0,0,0
41,41,early_mover,Early Mover,-1.40305593289227,-95.2824841118219,-728.838484350134,146,2089
41,41,sequential,Sequential,-0.840961171851447,-100.299088566342,-778.643413509851,149,2039
41,41,coordinated,Coordinated,-2.30923414784496,-103.933374723369,-716.162468917541,124,1893
41,41,delayed_coordination,Delayed Coordination,1.52384366300481,-113.020424029924,-866.61046873926,135,2140
42,42,baseline,Baseline,0,0,0,0,0
42,42,early_mover,Early Mover,-4.68381904444018,-115.786965033559,-673.91408027436,138,1883
42,42,sequential,Sequential,-12.173324357172,-105.416880353617,-608.931275211133,92,1380
42,42,coordinated,Coordinated,-11.0220332826401,-92.756989878141,-555.44139236798,108,1393
42,42,delayed_coordination,Delayed Coordination,-12.0649507727594,-114.231695831749,-611.095860583264,77,1417
43,43,baseline,Baseline,0,0,0,0,0
43,43,early_mover,Early Mover,-2.39249863586942,-107.659394329667,-782.026725558908,170,2148
43,43,sequential,Sequential,-3.38984142599858,-116.452685511388,-840.090477645685,171,2199
43,43,coordinated,Coordinated,-5.23084929002022,-111.85089231659,-794.508365419066,167,2084
43,43,delayed_coordination,Delayed Coordination,-4.94943520720082,-106.816383326123,-838.28441967252,169,2192
44,44,baseline,Baseline,0,0,0,0,0
44,44,early_mover,Early Mover,-5.31596312199622,-88.3088397178983,-650.477933116741,118,1679
44,44,sequential,Sequential,-10.7830374909758,-92.2055475853096,-648.391369594379,125,1638
44,44,coordinated,Coordinated,-5.61649022634255,-102.481541228561,-724.697020478309,141,1997
44,44,delayed_coordination,Delayed Coordination,-10.1104488527914,-89.8687169576383,-656.435198873764,117,1654
45,45,baseline,Baseline,0,0,0,0,0
45,45,early_mover,Early Mover,-3.12216281156908,-121.565856902713,-768.615919523835,150,2065
45,45,sequential,Sequential,-8.5686729972645,-116.514060847399,-808.893600615979,149,2060
45,45,coordinated,Coordinated,-10.1588410921649,-103.235978870484,-775.505265150699,162,2142
45,45,delayed_coordination,Delayed Coordination,-6.28700812722883,-121.683709002939,-852.552403531262,163,2153
46,46,baseline,Baseline,0,0,0,0,0
46,46,early_mover,Early Mover,-2.90383701170066,-91.940998533652,-733.52048375894,148,2034
46,46,sequential,Sequential,-2.09786487060765,-112.740749720259,-849.983227649294,177,2120
46,46,coordinated,Coordinated,-9.56313535719336,-81.1225792708073,-645.134648409492,127,1816
46,46,delayed_coordination,Delayed Coordination,-3.76965436141742,-103.414259307201,-807.018848601253,165,2080
47,47,baseline,Baseline,0,0,0,0,0
47,47,early_mover,Early Mover,3.97276877569426,-118.223477972983,-802.027221126044,164,2428
47,47,sequential,Sequential,2.28115323060815,-117.019000566159,-893.958412651721,185,2482
47,47,coordinated,Coordinated,-4.66010167245969,-98.6714500720465,-791.923119048181,159,2212
47,47,delayed_coordination,Delayed Coordination,2.89138231167148,-111.982535983083,-885.083383849373,171,2435
48,48,baseline,Baseline,0,0,0,0,0
48,48,early_mover,Early Mover,-4.62037020549481,-107.800832711731,-782.929948472607,159,2136
48,48,sequential,Sequential,-9.31236192563127,-97.1766600755375,-778.10464745787,139,1895
48,48,coordinated,Coordinated,-11.4380285280405,-80.0984295071521,-687.104973821239,77,1456
48,48,delayed_coordination,Delayed Coordination,-6.16371127402363,-109.264535731667,-830.478019837785,151,2066
49,49,baseline,Baseline,0,0,0,0,0
49,49,early_mover,Early Mover,-7.36671803138046,-49.9226057671134,-548.791873295525,83,1354
49,49,sequential,Sequential,-11.2381602432441,-54.0901654635004,-587.519216045077,73,1291
49,49,coordinated,Coordinated,-11.5800112210626,-55.5193412026797,-584.218827170076,97,1540
49,49,delayed_coordination,Delayed Coordination,-11.5705316781118,-53.5251732174683,-554.014442846894,78,1367
50,50,baseline,Baseline,0,0,0,0,0
50,50,early_mover,Early Mover,-3.9235196660355,-111.028167696467,-670.225400923184,146,1877
50,50,sequential,Sequential,-7.13156449052967,-114.18081573892,-687.676189157257,148,1826
50,50,coordinated,Coordinated,-9.95301290837521,-103.184506169309,-590.906594996369,128,1665
50,50,delayed_coordination,Delayed Coordination,-5.99700966942258,-120.86764471861,-717.553313516884,160,1869
51,51,baseline,Baseline,0,0,0,0,0
51,51,early_mover,Early Mover,-5.73395627372375,-118.017268336432,-674.890044466484,131,1885
51,51,sequential,Sequential,-6.93203385464659,-140.297413825707,-730.6391440259,134,1852
51,51,coordinated,Coordinated,2.10197683274791,-165.736769953287,-914.490271911052,192,2495
51,51,delayed_coordination,Delayed Coordination,-6.54154169760666,-140.369590677152,-743.220641008076,150,1950
52,52,baseline,Baseline,0,0,0,0,0
52,52,early_mover,Early Mover,-7.12069807453057,-102.967235371506,-594.219750702168,107,1608
52,52,sequential,Sequential,-11.6083915740191,-92.8729530390548,-594.976884807097,99,1464
52,52,coordinated,Coordinated,-14.3470357323173,-85.9851276493117,-573.565462764081,93,1165
52,52,delayed_coordination,Delayed Coordination,-10.8621594711569,-102.055831130141,-620.011443313667,102,1504
53,53,baseline,Baseline,0,0,0,0,0
53,53,early_mover,Early Mover,-5.60792800110391,-119.840398016087,-690.65452437113,157,1819
53,53,sequential,Sequential,-5.19825821718705,-122.974508520187,-710.870540048326,152,1943
53,53,coordinated,Coordinated,-6.2216452675319,-122.425406755196,-767.500311522569,167,2064
53,53,delayed_coordination,Delayed Coordination,-7.59327545217441,-119.200751828766,-670.18904402819,141,1834
54,54,baseline,Baseline,0,0,0,0,0
54,54,early_mover,Early Mover,-3.71700436191306,-103.15802660551,-763.542676924047,110,2029
54,54,sequential,Sequential,-5.94434032703127,-120.323663384957,-899.516847074198,144,2192
54,54,coordinated,Coordinated,-8.06452400700854,-104.772846500769,-800.64187814959,138,1940
54,54,delayed_coordination,Delayed Coordination,-9.11165308719616,-112.028454647641,-814.594875803485,111,1947
55,55,baseline,Baseline,0,0,0,0,0
55,55,early_mover,Early Mover,-0.859697493891645,-119.271409582892,-824.647770733107,151,2317
55,55,sequential,Sequential,-2.35953699807119,-125.138872395215,-899.479565136722,186,2392
55,55,coordinated,Coordinated,-3.79490149107123,-109.549601042674,-850.651512666841,176,2248
55,55,delayed_coordination,Delayed Coordination,-1.75972315420951,-133.515618656399,-918.992900106939,175,2449
56,56,baseline,Baseline,0,0,0,0,0
56,56,early_mover,Early Mover,-12.5504148043433,-50.9312074122747,-453.537433966228,81,1047
56,56,sequential,Sequential,-17.385178518071,-55.8329358120849,-483.403765940269,70,877
56,56,coordinated,Coordinated,-17.7903422737345,-52.0576235199522,-442.75125953425,73,987
56,56,delayed_coordination,Delayed Coordination,-17.3499171604999,-55.5457718412082,-461.965926556333,67,862
57,57,baseline,Baseline,0,0,0,0,0
57,57,early_mover,Early Mover,-3.20023649714732,-103.126212453275,-713.87572192361,139,1895
57,57,sequential,Sequential,-4.1160912511798,-132.453798933406,-812.245451562769,156,2015
57,57,coordinated,Coordinated,-4.30987792427408,-133.25853592629,-789.428219351614,163,2047
57,57,delayed_coordination,Delayed Coordination,-3.55948582600874,-121.000323177318,-833.2722292847,160,2086
58,58,baseline,Baseline,0,0,0,0,0
58,58,early_mover,Early Mover,-2.43669164240833,-117.920375794781,-802.251998245233,144,2344
58,58,sequential,Sequential,-4.2134102411224,-132.163052287855,-892.953647783361,158,2393
58,58,coordinated,Coordinated,-4.38073180966617,-120.25784591848,-846.43217935302,169,2344
58,58,delayed_coordination,Delayed Coordination,-4.92331611881447,-125.487165018271,-877.335158719178,166,2418
59,59,baseline,Baseline,0,0,0,0,0
59,59,early_mover,Early Mover,-2.84742265547108,-117.802352788203,-703.707584841962,149,1850
59,59,sequential,Sequential,-1.51441227879273,-144.219655672339,-820.317047873123,158,1845
