replication,seed,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
4,4,coordinated,delayed_coordination,-5.002429399231,57.6274122889915,164.870693984471,-449
5,5,early_mover,sequential,6.33667460863079,-5.06110253673711,-50.264690333493,168
5,5,early_mover,coordinated,8.19070112160142,-29.8477603240081,-115.205160316154,369
5,5,early_mover,delayed_coordination,5.06282270647074,-18.8356396548776,-57.4685984688522,196
5,5,sequential,coordinated,1.85402651297063,-24.786657787271,-64.9404699826609,201
5,5,sequential,delayed_coordination,-1.27385190216005,-13.7745371181405,-7.20390813535914,28
5,5,coordinated,delayed_coordination,-3.12787841513068,11.0121206691305,57.7365618473018,-173
6,6,early_mover,sequential,2.00380867975363,6.70930466227162,20.8808150843788,11
6,6,early_mover,coordinated,5.4042790212784,-2.25665329914784,-6.45357752206542,124
6,6,early_mover,delayed_coordination,2.34162700692877,7.37248169135481,10.3841654987368,69
6,6,sequential,coordinated,3.40047034152477,-8.96595796141946,-27.3343926064442,113
6,6,sequential,delayed_coordination,0.337818327175142,0.663177029083187,-10.496649585642,58
6,6,coordinated,delayed_coordination,-3.06265201434962,9.62913499050265,16.8377430208022,-55
7,7,early_mover,sequential,1.32899724532628,6.25328455019257,47.3037688787686,-140
7,7,early_mover,coordinated,0.337377159181187,19.993201055336,87.0009078854309,-338
7,7,early_mover,delayed_coordination,4.56771553940047,-1.47637440402445,7.04126307972729,-23
7,7,sequential,coordinated,-0.99162008614509,13.7399165051435,39.6971390066624,-198
7,7,sequential,delayed_coordination,3.23871829407419,-7.72965895421703,-40.2625057990413,117
7,7,coordinated,delayed_coordination,4.23033838021928,-21.4695754593605,-79.9596448057036,315
8,8,early_mover,sequential,5.80420275033485,-2.71370199019387,-31.0654118538444,77
8,8,early_mover,coordinated,5.53608906654733,-5.71226100018791,-75.1823326959704,144
8,8,early_mover,delayed_coordination,3.42057139901836,1.84286375162557,4.98054378569441,13
8,8,sequential,coordinated,-0.268113683787519,-2.99855900999404,-44.1169208421261,67
8,8,sequential,delayed_coordination,-2.3836313513165,4.55656574181944,36.0459556395388,-64
8,8,coordinated,delayed_coordination,-2.11551766752898,7.55512475181348,80.1628764816649,-131
9,9,early_mover,sequential,4.17611941772437,2.49613378597167,-39.387048206979,63
9,9,early_mover,coordinated,1.78466372359577,-5.80160434941075,15.0475188749617,24
9,9,early_mover,delayed_coordination,2.11309723205662,3.58541664293693,48.0287345478364,-68
9,9,sequential,coordinated,-2.3914556941286,-8.29773813538242,54.4345670819407,-39
9,9,sequential,delayed_coordination,-2.06302218566775,1.08928285696527,87.4157827548154,-131
9,9,coordinated,delayed_coordination,0.328433508460847,9.38702099234769,32.9812156728747,-92
10,10,early_mover,sequential,0.145023797022617,13.0684752543515,134.723483981617,-213
10,10,early_mover,coordinated,0.205143819471971,7.62610901932652,107.934239951697,-263
10,10,early_mover,delayed_coordination,-0.166700916917762,10.2156438202303,135.383441494626,-221
10,10,sequential,coordinated,0.0601200224493539,-5.44236623502496,-26.7892440299199,-50
10,10,sequential,delayed_coordination,-0.311724713940379,-2.85283143412119,0.659957513009203,-8
10,10,coordinated,delayed_coordination,-0.371844736389733,2.58953480090378,27.4492015429291,42
11,11,early_mover,sequential,-1.10784361573587,7.96119963066718,148.356754335811,-263
11,11,early_mover,coordinated,2.65402223206431,7.4786669941646,75.3906492344065,-133
11,11,early_mover,delayed_coordination,-0.281187752673304,12.9845016086092,114.595151538954,-84
11,11,sequential,coordinated,3.76186584780018,-0.482532636502583,-72.9661051014043,130
11,11,sequential,delayed_coordination,0.82665586306257,5.02330197794197,-33.7616027968572,179
11,11,coordinated,delayed_coordination,-2.93520998473761,5.50583461444455,39.2045023045471,49
12,12,early_mover,sequential,-0.562666693604655,9.59992421350236,97.0316031107116,-37
12,12,early_mover,coordinated,-2.07691717403215,2.48374372080539,94.994822139457,-121
12,12,early_mover,delayed_coordination,-1.64894290727567,9.94900643998366,112.493424316598,-65
12,12,sequential,coordinated,-1.51425048042749,-7.11618049269697,-2.03678097125453,-84
12,12,sequential,delayed_coordination,-1.08627621367101,0.3490822264813,15.4618212058863,-28
12,12,coordinated,delayed_coordination,0.427974266756479,7.46526271917827,17.4986021771408,56
13,13,early_mover,sequential,0.646327480238128,10.0206114189595,97.9321508242683,-104
13,13,early_mover,coordinated,4.06424693951836,-3.23500554074127,41.6116113661151,250
13,13,early_mover,delayed_coordination,1.11018820741961,7.13713985823756,61.3354235862937,-15
13,13,sequential,coordinated,3.41791945928023,-13.2556169597008,-56.3205394581532,354
13,13,sequential,delayed_coordination,0.463860727181483,-2.88347156072194,-36.5967272379746,89
13,13,coordinated,delayed_coordination,-2.95405873209874,10.3721453989788,19.7238122201786,-265
14,14,early_mover,sequential,3.16558462160565,1.67924398653602,27.8542729469414,75
14,14,early_mover,coordinated,-0.870271100773735,15.7615273413517,126.864277999505,-137
14,14,early_mover,delayed_coordination,6.15893302759964,-26.3089006518352,-49.6084159206152,190
14,14,sequential,coordinated,-4.03585572237938,14.0822833548157,99.0100050525634,-212
14,14,sequential,delayed_coordination,2.993348405994,-27.9881446383712,-77.4626888675566,115
14,14,coordinated,delayed_coordination,7.02920412837338,-42.0704279931869,-176.47269392012,327
15,15,early_mover,sequential,1.38255957957797,8.8450722284577,75.8139386394748,-117
15,15,early_mover,coordinated,0.10507367036206,17.9223621804725,141.335045636033,-244
15,15,early_mover,delayed_coordination,0.951336347014248,19.1499749261505,88.4653182627076,-96
15,15,sequential,coordinated,-1.27748590921591,9.07728995201478,65.5211069965583,-127
15,15,sequential,delayed_coordination,-0.431223232563724,10.3049026976928,12.6513796232327,21
15,15,coordinated,delayed_coordination,0.846262676652188,1.22761274567799,-52.8697273733255,148
16,16,early_mover,sequential,0.529444771317458,19.8561032336769,60.0911789219524,-129
16,16,early_mover,coordinated,5.40532679070958,14.58408886807,7.72138819700967,-97
16,16,early_mover,delayed_coordination,-0.510321096927143,20.2553647290299,75.1361116248936,-143
16,16,sequential,coordinated,4.87588201939212,-5.27201436560685,-52.3697907249427,32
16,16,sequential,delayed_coordination,-1.0397658682446,0.399261495353045,15.0449327029412,-14
16,16,coordinated,delayed_coordination,-5.91564788763672,5.67127586095989,67.4147234278839,-46
17,17,early_mover,sequential,1.69696684046595,7.97917503594499,93.3659000562375,-46
17,17,early_mover,coordinated,4.07924305035863,15.6942986602701,28.6096432767115,135
17,17,early_mover,delayed_coordination,0.730816663826786,22.878819875927,101.203124504858,-44
17,17,sequential,coordinated,2.38227620989268,7.71512362432509,-64.756256779526,181
17,17,sequential,delayed_coordination,-0.966150176639161,14.899644839982,7.83722444862019,2
17,17,coordinated,delayed_coordination,-3.34842638653184,7.18452121565693,72.5934812281462,-179
18,18,early_mover,sequential,-2.09514216919921,12.6334251732266,77.8568025464435,-164
18,18,early_mover,coordinated,-1.19321138238624,11.3282560180677,34.286439480567,-88
18,18,early_mover,delayed_coordination,-3.39734183393134,18.4152152745806,58.7159565681159,-149
18,18,sequential,coordinated,0.901930786812969,-1.30516915515886,-43.5703630658766,76
18,18,sequential,delayed_coordination,-1.30219966473213,5.78179010135409,-19.1408459783277,15
18,18,coordinated,delayed_coordination,-2.2041304515451,7.08695925651296,24.4295170875489,-61
19,19,early_mover,sequential,0.36880747752825,5.5834126404522,67.1317701838041,-166
19,19,early_mover,coordinated,0.863012173037149,20.060990219131,72.3527126083507,-282
19,19,early_mover,delayed_coordination,2.75037051288446,-0.549852285531131,-3.82484897197514,-58
19,19,sequential,coordinated,0.494204695508898,14.4775775786788,5.22094242454659,-116
19,19,sequential,delayed_coordination,2.38156303535621,-6.13326492598333,-70.9566191557792,108
19,19,coordinated,delayed_coordination,1.88735833984731,-20.6108425046621,-76.1775615803258,224
20,20,early_mover,sequential,5.02141181128502,-0.2230420538842,7.31628441467183,61
20,20,early_mover,coordinated,12.8180217802734,-20.1202519908591,-208.417155608404,629
20,20,early_mover,delayed_coordination,5.61984184683332,-11.7537048905278,-31.2620599763884,84
20,20,sequential,coordinated,7.79660996898836,-19.8972099369749,-215.733440023076,568
20,20,sequential,delayed_coordination,0.598430035548304,-11.5306628366436,-38.5783443910602,23
20,20,coordinated,delayed_coordination,-7.19817993344006,8.36654710033127,177.155095632016,-545
21,21,early_mover,sequential,0.682084775803474,13.5090765304985,88.3807263398407,-63
21,21,early_mover,coordinated,-1.6268582631822,23.6112966611599,103.447908205026,-246
21,21,early_mover,delayed_coordination,0.366595399772677,13.1296297355473,91.5483652558619,-143
21,21,sequential,coordinated,-2.30894303898567,10.1022201306614,15.0671818651854,-183
