recovery_horizon,scenario_id,scenario_name,time,GroupCount,mean_delta_risk,std_delta_risk,mean_volume_effect,std_volume_effect,mean_composition_effect,std_composition_effect,mean_volume_share_of_delta_risk,std_volume_share_of_delta_risk,mean_composition_share_of_delta_risk,std_composition_share_of_delta_risk
3,early_mover,Early Mover,12,100,-91.1335230991127,17.8730527459828,-92.1594634910045,14.7967025806819,1.02594039189184,12.8050673814669,1.02926433165193,0.153127691174601,-0.0292643316519273,0.153127691174601
3,early_mover,Early Mover,13,100,-94.306176503864,18.0993443093832,-95.9281770109376,15.2249572451048,1.62200050707364,13.2550958302151,1.03513421440714,0.156475698586295,-0.03513421440714,0.156475698586295
3,early_mover,Early Mover,14,100,-96.7110759855069,18.4127617643705,-98.5664034788598,15.6015592660064,1.85532749335298,13.6302867701934,1.03738694685786,0.160134026066512,-0.0373869468578597,0.160134026066512
3,early_mover,Early Mover,15,100,-98.9240693820963,18.5689949038256,-100.921963549338,15.8965975361143,1.99789416724219,13.9623805837627,1.03848192785069,0.162558898197043,-0.0384819278506906,0.162558898197043
3,early_mover,Early Mover,16,100,-100.749943995458,18.8378640172116,-102.632902445555,16.0176771082015,1.88295845009746,14.3095466486544,1.03730811756163,0.163900418186798,-0.0373081175616279,0.163900418186798
3,early_mover,Early Mover,17,100,-102.043453067595,18.7185187259708,-103.927333336948,16.1231142667432,1.88388026935257,13.9826305517909,1.03563988748074,0.157540252580791,-0.0356398874807385,0.157540252580791
3,early_mover,Early Mover,18,100,-103.178559134983,18.8930095295749,-105.086394830263,16.3240585592621,1.90783569528006,14.1159032409429,1.03541821687808,0.156151837513607,-0.0354182168780784,0.156151837513607
3,early_mover,Early Mover,19,100,-104.007422271248,19.1166528615911,-106.088110588249,16.5864579642622,2.08068831700043,14.347215297267,1.03717604280019,0.157694872627323,-0.037176042800193,0.157694872627323
3,early_mover,Early Mover,20,100,-104.707109870993,19.2997276669313,-106.764169632553,16.652155201502,2.05705976155999,14.6134078669519,1.0374031591424,0.160319494097849,-0.0374031591424037,0.160319494097849
3,sequential,Sequential,0,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,sequential,Sequential,1,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,sequential,Sequential,2,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,sequential,Sequential,3,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,sequential,Sequential,4,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,sequential,Sequential,5,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
3,sequential,Sequential,6,100,-19.5521655615756,4.94551414483729,-19.5334238637631,3.69374061232705,-0.0187416978124314,4.1126482300293,1.03978458050663,0.22864180171019,-0.0397845805066295,0.22864180171019
3,sequential,Sequential,7,100,-49.601233912857,12.6295475274245,-50.3786026154941,9.42459584984085,0.777368702637129,9.85372278055854,1.05350276398352,0.215023811792158,-0.0535027639835222,0.215023811792158
3,sequential,Sequential,8,100,-65.0066380891091,13.903595617415,-66.5247945160247,11.2601146856828,1.51815642691554,11.5394098248694,1.04919365258772,0.188094058332945,-0.0491936525877167,0.188094058332945
3,sequential,Sequential,9,100,-74.648949638986,16.3087843778445,-75.6087107319772,12.5420444106308,0.959761092991217,12.6870480654617,1.03819058946666,0.176988171707765,-0.038190589466664,0.176988171707765
3,sequential,Sequential,10,100,-80.9747117789523,17.1155554199858,-82.0907225509943,13.5669350266788,1.11601077204204,12.9300616021975,1.03584598864317,0.165384618327647,-0.0358459886431723,0.165384618327647
3,sequential,Sequential,11,100,-86.9716790625927,17.5762641265539,-88.1269004546865,14.2472000860514,1.15522139209388,13.4225042509068,1.03202964461915,0.154923066592551,-0.0320296446191474,0.154923066592551
3,sequential,Sequential,12,100,-91.5254053128299,18.0805299027641,-92.7550406730481,15.1036701865351,1.22963536021825,13.3307720469503,1.03041545530359,0.149747326952835,-0.030415455303588,0.149747326952835
3,sequential,Sequential,13,100,-95.0607958120388,18.8889665103747,-96.470332775575,15.7866851075639,1.40953696353619,13.6082619912296,1.03199441798471,0.151143727511064,-0.0319944179847146,0.151143727511064
3,sequential,Sequential,14,100,-100.260685153881,19.7978768992698,-101.853673633043,16.6875329755969,1.59298847916169,13.5732890690379,1.03249176331137,0.146828209693172,-0.0324917633113734,0.146828209693172
3,sequential,Sequential,15,100,-103.885851040125,20.6206151643483,-105.629204391498,17.1891765690819,1.7433533513725,13.8252965493496,1.03357552160357,0.144319125074802,-0.0335755216035656,0.144319125074802
3,sequential,Sequential,16,100,-106.519606321332,20.9725290481403,-108.260995319809,17.4746820438056,1.74138899847722,13.9057950372718,1.03286104298656,0.141513732274817,-0.0328610429865617,0.141513732274817
3,sequential,Sequential,17,100,-108.680249330038,21.4999396176104,-110.084989369658,17.6465928155851,1.40474003962059,14.0082195721252,1.02922373453935,0.136455308880487,-0.0292237345393522,0.136455308880487
3,sequential,Sequential,18,100,-110.062210768682,21.9577868455162,-111.433969601762,17.8827002542158,1.37175883307988,14.3532186620215,1.02935816391812,0.13816555888553,-0.029358163918119,0.13816555888553
3,sequential,Sequential,19,100,-111.20740832159,22.2509703494367,-112.520769736499,18.0084983347968,1.31336141490951,14.6871608842477,1.02895671348054,0.13908393277278,-0.0289567134805373,0.13908393277278
3,sequential,Sequential,20,100,-111.945314483559,22.3619044294242,-113.353754198412,18.1614306337107,1.40843971485282,14.9577140233033,1.02985598557139,0.140741846976632,-0.029855985571387,0.140741846976632
5,coordinated,Coordinated,0,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
5,coordinated,Coordinated,1,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
5,coordinated,Coordinated,2,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
5,coordinated,Coordinated,3,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
5,coordinated,Coordinated,4,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
5,coordinated,Coordinated,5,100,0,0,0,0,0,0,NaN,NaN,NaN,NaN
5,coordinated,Coordinated,6,100,-21.2360477011106,5.7946136847146,-21.0595952494768,4.00265137055741,-0.17645245163377,4.47855307796792,1.04048829205353,0.250932009291248,-0.0404882920535275,0.250932009291247
