replication,seed,policyPenalty,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
10,10,0.25,baseline,Baseline,125.464422229636,326.212289056639,2330.83421171135,97,2510,1062,1448
10,10,0.25,early_mover,Early Mover,112.510516810963,322.474635942176,2249.56656280024,103,2594,1243,1351
10,10,0.25,sequential,Sequential,113.237087128802,305.622269890969,2172.67415306016,130,2788,1307,1481
10,10,0.25,coordinated,Coordinated,114.330585340291,320.875636712872,2170.48143886224,130,2906,1281,1625
10,10,0.25,delayed_coordination,Delayed Coordination,113.769304615133,304.082250362653,2171.01303621538,125,2764,1265,1499
10,10,0.5,baseline,Baseline,125.464422229636,326.212289056639,2330.83421171135,97,2510,1062,1448
10,10,0.5,early_mover,Early Mover,116.552661684733,243.439200802321,1798.55631215155,203,3898,1586,2312
10,10,0.5,sequential,Sequential,112.846813962261,255.4656371221,1752.91035908242,203,3855,1572,2283
10,10,0.5,coordinated,Coordinated,115.14925062672,241.535838676811,1750.31717571919,220,4192,1664,2528
10,10,0.5,delayed_coordination,Delayed Coordination,114.35920393099,242.705135258404,1749.30788350355,219,4044,1597,2447
10,10,0.75,baseline,Baseline,125.464422229636,326.212289056639,2330.83421171135,97,2510,1062,1448
10,10,0.75,early_mover,Early Mover,109.518912790012,259.725472196292,1717.42863271522,180,3880,1120,2760
10,10,0.75,sequential,Sequential,104.642064834805,258.895552453115,1645.26571507559,178,3864,1113,2751
10,10,0.75,coordinated,Coordinated,107.865789790665,251.539772949343,1626.85896721367,184,4042,1224,2818
10,10,0.75,delayed_coordination,Delayed Coordination,103.375258090789,258.242579490235,1666.00420071331,167,3851,1115,2736
11,11,0.25,baseline,Baseline,125.751273841672,328.268827405729,2322.5751188945,108,2783,1072,1711
11,11,0.25,early_mover,Early Mover,115.201969993936,311.042523572269,2181.44034855433,149,3179,1289,1890
11,11,0.25,sequential,Sequential,113.780541884529,306.026987700208,2161.28888084001,148,3150,1275,1875
11,11,0.25,coordinated,Coordinated,111.552875310521,315.505320446004,2212.53285847168,118,2995,1165,1830
11,11,0.25,delayed_coordination,Delayed Coordination,112.92849469804,308.17870433249,2172.96051855478,141,3175,1248,1927
11,11,0.5,baseline,Baseline,125.751273841672,328.268827405729,2322.5751188945,108,2783,1072,1711
11,11,0.5,early_mover,Early Mover,116.467496794527,242.820164295734,1761.62085355682,237,4566,1614,2952
11,11,0.5,sequential,Sequential,114.596610701217,237.786676058666,1745.85469162884,234,4556,1601,2955
11,11,0.5,coordinated,Coordinated,116.165293164709,237.184561671278,1747.52830280841,253,4708,1635,3073
11,11,0.5,delayed_coordination,Delayed Coordination,114.678741131476,239.354186086795,1727.43716606597,252,4593,1644,2949
11,11,0.75,baseline,Baseline,125.751273841672,328.268827405729,2322.5751188945,108,2783,1072,1711
11,11,0.75,early_mover,Early Mover,133.047130340493,199.251857999232,1375.57951969977,276,5643,1183,4460
11,11,0.75,sequential,Sequential,131.976542101212,172.214834201002,1278.30150872445,299,5716,1248,4468
11,11,0.75,coordinated,Coordinated,119.419872068051,195.015754185762,1424.63713709085,286,5158,1277,3881
11,11,0.75,delayed_coordination,Delayed Coordination,131.772984211853,177.415421737689,1297.86951924611,303,5669,1228,4441
12,12,0.25,baseline,Baseline,124.793261949587,345.443581148862,2297.79646656909,124,2984,1153,1831
12,12,0.25,early_mover,Early Mover,111.419944260042,323.173864254406,2215.15528855949,149,3222,1358,1864
12,12,0.25,sequential,Sequential,109.957478800758,311.480951974202,2131.05325408837,158,3333,1375,1958
12,12,0.25,coordinated,Coordinated,110.128774098846,308.925994506333,2160.27039935807,135,3132,1237,1895
12,12,0.25,delayed_coordination,Delayed Coordination,110.162304506008,318.654299405441,2177.31762905817,154,3296,1356,1940
12,12,0.5,baseline,Baseline,124.793261949587,345.443581148862,2297.79646656909,124,2984,1153,1831
12,12,0.5,early_mover,Early Mover,118.745754043717,247.530028422986,1680.700629958,263,4946,1660,3286
12,12,0.5,sequential,Sequential,116.749225511542,234.255107133147,1606.19756887052,278,5130,1740,3390
12,12,0.5,coordinated,Coordinated,113.776197444,248.738504739343,1711.34651129282,242,4901,1695,3206
12,12,0.5,delayed_coordination,Delayed Coordination,115.645232640877,231.096802748487,1614.85676375492,264,5023,1727,3296
12,12,0.75,baseline,Baseline,124.793261949587,345.443581148862,2297.79646656909,124,2984,1153,1831
12,12,0.75,early_mover,Early Mover,125.828027299375,207.97998381999,1361.95895914714,271,5472,1092,4380
12,12,0.75,sequential,Sequential,122.727720901554,190.35582242198,1279.53436219423,278,5483,1175,4308
12,12,0.75,coordinated,Coordinated,107.440712635137,218.455259562941,1484.982415728,237,4865,1196,3669
12,12,0.75,delayed_coordination,Delayed Coordination,120.557505511936,198.668708718884,1314.44771596369,258,5419,1147,4272
13,13,0.25,baseline,Baseline,126.648445085528,338.366618841938,2231.03247443756,128,2959,1156,1803
13,13,0.25,early_mover,Early Mover,112.552412959008,326.150886413846,2175.99507353123,133,3004,1328,1676
13,13,0.25,sequential,Sequential,110.956918386885,321.679845597259,2157.36731215334,144,3062,1326,1736
13,13,0.25,coordinated,Coordinated,110.941988541654,322.50806580569,2142.06397018395,129,3090,1277,1813
13,13,0.25,delayed_coordination,Delayed Coordination,112.654064486193,319.146817156605,2125.73086569253,146,3126,1326,1800
13,13,0.5,baseline,Baseline,126.648445085528,338.366618841938,2231.03247443756,128,2959,1156,1803
13,13,0.5,early_mover,Early Mover,119.687615592232,237.997657426957,1620.8387855598,267,4922,1770,3152
13,13,0.5,sequential,Sequential,118.729789024393,226.348829983703,1567.54573429963,280,5048,1872,3176
13,13,0.5,coordinated,Coordinated,119.656139569236,225.771151368017,1554.86654466827,294,4999,1788,3211
13,13,0.5,delayed_coordination,Delayed Coordination,117.688665575214,230.979906815449,1578.87690702811,281,4983,1825,3158
13,13,0.75,baseline,Baseline,126.648445085528,338.366618841938,2231.03247443756,128,2959,1156,1803
13,13,0.75,early_mover,Early Mover,122.534450621375,203.828428866583,1382.8182787596,267,5346,1249,4097
13,13,0.75,sequential,Sequential,117.498662624761,211.830933242331,1338.33149449367,251,5135,1225,3910
13,13,0.75,coordinated,Coordinated,102.757045555641,237.44108272621,1525.35216712968,205,4223,1249,2974
13,13,0.75,delayed_coordination,Delayed Coordination,117.052291661149,209.395995376696,1329.85929765619,257,5127,1244,3883
14,14,0.25,baseline,Baseline,128.364915885611,335.488980749225,2263.49543785668,101,2720,1155,1565
14,14,0.25,early_mover,Early Mover,116.685073889945,315.201487661414,2167.4681630635,143,3063,1443,1620
14,14,0.25,sequential,Sequential,115.482307931672,315.770176227966,2133.03336718368,145,2972,1389,1583
14,14,0.25,coordinated,Coordinated,112.196494477757,321.20240313637,2224.10343505622,109,2696,1275,1421
14,14,0.25,delayed_coordination,Delayed Coordination,115.14753057708,307.21966539,2154.66128150139,123,2892,1367,1525
14,14,0.5,baseline,Baseline,128.364915885611,335.488980749225,2263.49543785668,101,2720,1155,1565
14,14,0.5,early_mover,Early Mover,122.942604399601,249.877426460891,1703.56970362338,241,4594,1718,2876
14,14,0.5,sequential,Sequential,117.007174846521,251.160031954886,1703.86392047217,249,4520,1715,2805
