replication,seed,policy_penalty,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
8,8,0.5,coordinated,delayed_coordination,-2.11551766752898,7.55512475181348,80.1628764816649,-131
8,8,0.75,early_mover,sequential,12.5121495832856,-4.42022746714349,-13.8313975492927,584
8,8,0.75,early_mover,coordinated,8.85548934622931,-1.08716296661225,-8.45003710239325,200
8,8,0.75,early_mover,delayed_coordination,9.16963673177928,2.47525640530318,34.1936615414718,395
8,8,0.75,sequential,coordinated,-3.65666023705634,3.33306450053124,5.38136044689941,-384
8,8,0.75,sequential,delayed_coordination,-3.34251285150637,6.89548387244668,48.0250590907644,-189
8,8,0.75,coordinated,delayed_coordination,0.314147385549973,3.56241937191544,42.643698643865,195
9,9,0.25,early_mover,sequential,0.866765114512745,-1.48695887664479,14.394073014123,-12
9,9,0.25,early_mover,coordinated,-0.465415397326339,16.2908482710739,47.8083742069316,-118
9,9,0.25,early_mover,delayed_coordination,-0.427170820098851,14.4246086601801,56.9927061933586,-110
9,9,0.25,sequential,coordinated,-1.33218051183908,17.7778071477186,33.4143011928086,-106
9,9,0.25,sequential,delayed_coordination,-1.2939359346116,15.9115675368249,42.5986331792355,-98
9,9,0.25,coordinated,delayed_coordination,0.0382445772274878,-1.86623961089373,9.18433198642697,8
9,9,0.5,early_mover,sequential,4.17611941772437,2.49613378597167,-39.387048206979,63
9,9,0.5,early_mover,coordinated,1.78466372359577,-5.80160434941075,15.0475188749617,24
9,9,0.5,early_mover,delayed_coordination,2.11309723205662,3.58541664293693,48.0287345478364,-68
9,9,0.5,sequential,coordinated,-2.3914556941286,-8.29773813538242,54.4345670819407,-39
9,9,0.5,sequential,delayed_coordination,-2.06302218566775,1.08928285696527,87.4157827548154,-131
9,9,0.5,coordinated,delayed_coordination,0.328433508460847,9.38702099234769,32.9812156728747,-92
9,9,0.75,early_mover,sequential,4.33148303196148,15.428593705126,73.9121548204469,82
9,9,0.75,early_mover,coordinated,19.6081898446659,-8.51970798188671,-148.930475930389,833
9,9,0.75,early_mover,delayed_coordination,1.12464519752587,17.4938974135898,112.110036198648,39
9,9,0.75,sequential,coordinated,15.2767068127044,-23.9483016870127,-222.842630750836,751
9,9,0.75,sequential,delayed_coordination,-3.20683783443562,2.06530370846389,38.1978813782016,-43
9,9,0.75,coordinated,delayed_coordination,-18.4835446471401,26.0136053954766,261.040512129038,-794
10,10,0.25,early_mover,sequential,-0.660638850046638,12.3117551355313,81.9747722862758,-87
10,10,0.25,early_mover,coordinated,0.0729469299193681,3.15632768468186,60.7556982466253,-145
10,10,0.25,early_mover,delayed_coordination,0.859431387124928,6.85983836729838,41.8364541199608,-80
10,10,0.25,sequential,coordinated,0.733585779966006,-9.1554274508494,-21.2190740396504,-58
10,10,0.25,sequential,delayed_coordination,1.52007023717157,-5.45191676823288,-40.138318166315,7
10,10,0.25,coordinated,delayed_coordination,0.78648445720556,3.70351068261652,-18.9192441266646,65
10,10,0.5,early_mover,sequential,0.145023797022617,13.0684752543515,134.723483981617,-213
10,10,0.5,early_mover,coordinated,0.205143819471971,7.62610901932652,107.934239951697,-263
10,10,0.5,early_mover,delayed_coordination,-0.166700916917762,10.2156438202303,135.383441494626,-221
10,10,0.5,sequential,coordinated,0.0601200224493539,-5.44236623502496,-26.7892440299199,-50
