replication,seed,cost_regime,eL,eG,scenario_id,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_total_switches_vs_baseline
10,10,low,0.05,0.1,sequential,3.11719293796207,-117.079628390613,-793.093410700813,2123
10,10,low,0.05,0.1,coordinated,-1.24584127809302,-111.286416861953,-764.508472900197,2227
10,10,low,0.05,0.1,delayed_coordination,-2.40855724733692,-101.558772402178,-692.361866288706,2052
10,10,baseline,0.1,0.2,baseline,0,0,0,0
10,10,baseline,0.1,0.2,early_mover,-8.91176054490273,-82.7730882543181,-532.277899559797,1388
10,10,baseline,0.1,0.2,sequential,-12.6176082673751,-70.7466519345382,-577.923852628935,1345
10,10,baseline,0.1,0.2,coordinated,-10.3151716029157,-84.6764503798273,-580.517035992158,1682
10,10,baseline,0.1,0.2,delayed_coordination,-11.105218298646,-83.5071537982347,-581.526328207798,1534
10,10,high,0.2,0.4,baseline,0,0,0,0
10,10,high,0.2,0.4,early_mover,-19.4204057545073,-34.3622554223913,-267.248908200321,920
10,10,high,0.2,0.4,sequential,-21.4204598897392,-52.6012338134389,-377.397694262253,1255
10,10,high,0.2,0.4,coordinated,-21.3575914070326,-54.4104990945855,-350.755092952192,1198
10,10,high,0.2,0.4,delayed_coordination,-21.692325777003,-56.6768024070682,-362.512169466362,1201
11,11,low,0.05,0.1,baseline,0,0,0,0
11,11,low,0.05,0.1,early_mover,3.14271303742828,-94.9971264236909,-703.492350719419,2304
11,11,low,0.05,0.1,sequential,3.47829151493747,-109.180634375254,-765.257245880346,2327
11,11,low,0.05,0.1,coordinated,-0.134903464069282,-104.847400665097,-719.77399337386,2231
11,11,low,0.05,0.1,delayed_coordination,4.02668527015152,-102.191405734812,-761.392174411282,2257
11,11,baseline,0.1,0.2,baseline,0,0,0,0
11,11,baseline,0.1,0.2,early_mover,-9.28377704714551,-85.448663109995,-560.95426533768,1783
11,11,baseline,0.1,0.2,sequential,-11.1546631404557,-90.4821513470634,-576.72042726566,1773
11,11,baseline,0.1,0.2,coordinated,-9.58598067696354,-91.0842657344511,-575.046816086084,1925
11,11,baseline,0.1,0.2,delayed_coordination,-11.072532710196,-88.9146413189342,-595.137952828522,1810
11,11,high,0.2,0.4,baseline,0,0,0,0
11,11,high,0.2,0.4,early_mover,-19.9258046528237,-47.1039823448591,-269.6788372611,908
11,11,high,0.2,0.4,sequential,-22.2843958385331,-53.5000639248241,-315.980249346255,959
11,11,high,0.2,0.4,coordinated,-21.6961782284871,-40.8206464781196,-315.714573427595,1133
11,11,high,0.2,0.4,delayed_coordination,-21.6814342567409,-52.6991002947159,-319.872044263781,1042
12,12,low,0.05,0.1,baseline,0,0,0,0
12,12,low,0.05,0.1,early_mover,-3.81614625572277,-94.1888323628442,-612.072686481693,1589
12,12,low,0.05,0.1,sequential,0.196718372626947,-104.219866975608,-737.925117030387,1893
12,12,low,0.05,0.1,coordinated,-8.58024323472642,-78.6472674518472,-594.271280596911,1396
12,12,low,0.05,0.1,delayed_coordination,-8.02070231555467,-93.1026388200533,-622.733471217568,1568
12,12,baseline,0.1,0.2,baseline,0,0,0,0
12,12,baseline,0.1,0.2,early_mover,-6.04750790587083,-97.9135527258766,-617.095836611094,1962
12,12,baseline,0.1,0.2,sequential,-8.04403643804496,-111.188474015715,-691.598897698571,2146
12,12,baseline,0.1,0.2,coordinated,-11.0170645055877,-96.7050764095196,-586.449955276273,1917
12,12,baseline,0.1,0.2,delayed_coordination,-9.14802930871059,-114.346778400376,-682.939702814175,2039
12,12,high,0.2,0.4,baseline,0,0,0,0
12,12,high,0.2,0.4,early_mover,-17.6875059543737,-51.6037019918723,-343.665310502019,957
12,12,high,0.2,0.4,sequential,-20.7920471191981,-64.3676030704569,-397.08021346548,1055
12,12,high,0.2,0.4,coordinated,-21.8613525908803,-59.5830635970344,-347.846161466494,869
12,12,high,0.2,0.4,delayed_coordination,-21.5190201798484,-55.3934718353154,-376.242578688005,1002
13,13,low,0.05,0.1,baseline,0,0,0,0
13,13,low,0.05,0.1,early_mover,0.834696492934967,-113.08146894304,-742.586140207116,2360
13,13,low,0.05,0.1,sequential,2.24690732880492,-120.880937933586,-800.709899390783,2451
13,13,low,0.05,0.1,coordinated,3.74280767043621,-122.23632863987,-818.22591126158,2471
13,13,low,0.05,0.1,delayed_coordination,0.778551063012969,-115.267192780203,-792.800435152094,2355
13,13,baseline,0.1,0.2,baseline,0,0,0,0
13,13,baseline,0.1,0.2,early_mover,-6.96082949329558,-100.368961414981,-610.193688877763,1963
13,13,baseline,0.1,0.2,sequential,-7.91865606113539,-112.017788858234,-663.486740137933,2089
13,13,baseline,0.1,0.2,coordinated,-6.99230551629215,-112.595467473921,-676.165929769289,2040
13,13,baseline,0.1,0.2,delayed_coordination,-8.95977951031408,-107.386712026489,-652.155567409457,2024
13,13,high,0.2,0.4,baseline,0,0,0,0
13,13,high,0.2,0.4,early_mover,-20.1689992866512,-25.6746738244605,-196.446073797337,743
13,13,high,0.2,0.4,sequential,-23.9795875601635,-28.6058005517023,-210.474656035607,762
13,13,high,0.2,0.4,coordinated,-25.5919172684347,-21.7122793063436,-222.505967833671,826
13,13,high,0.2,0.4,delayed_coordination,-23.5932425017737,-32.1954157151483,-230.678478402917,761
14,14,low,0.05,0.1,baseline,0,0,0,0
14,14,low,0.05,0.1,early_mover,8.60838401861315,-102.146862203569,-773.179644309225,2443
14,14,low,0.05,0.1,sequential,1.40147351173198,-100.383398760686,-741.078686971115,2306
14,14,low,0.05,0.1,coordinated,-5.3935692351734,-89.0844458300939,-657.529429905524,1762
14,14,low,0.05,0.1,delayed_coordination,2.68192159168433,-102.689038846881,-773.503275972829,2375
14,14,baseline,0.1,0.2,baseline,0,0,0,0
14,14,baseline,0.1,0.2,early_mover,-5.42231148600987,-85.6115542883341,-559.925734233298,1874
14,14,baseline,0.1,0.2,sequential,-11.3577410390899,-84.3289487943392,-559.631517384505,1800
14,14,baseline,0.1,0.2,coordinated,-9.63695239487927,-84.8360311957554,-580.125131236097,1915
14,14,baseline,0.1,0.2,delayed_coordination,-8.5760836304827,-88.772216505771,-593.682287608281,1931
14,14,high,0.2,0.4,baseline,0,0,0,0
14,14,high,0.2,0.4,early_mover,-18.9031551213145,-43.3766247512391,-253.330007184957,667
14,14,high,0.2,0.4,sequential,-20.7736203419177,-51.5088618564137,-323.98730443589,915
14,14,high,0.2,0.4,coordinated,-16.5642765070343,-57.7847979276521,-402.689873572901,1348
14,14,high,0.2,0.4,delayed_coordination,-21.8022132219722,-49.2986347244453,-284.935125781441,726
15,15,low,0.05,0.1,baseline,0,0,0,0
15,15,low,0.05,0.1,early_mover,9.73946816406661,-132.022565456632,-875.588931270208,2569
15,15,low,0.05,0.1,sequential,5.37621490667945,-138.376113841846,-882.239440184896,2554
15,15,low,0.05,0.1,coordinated,2.30291103513977,-119.178730200365,-815.011045998894,2209
15,15,low,0.05,0.1,delayed_coordination,4.97561133368114,-136.371732653529,-869.878923010293,2527
15,15,baseline,0.1,0.2,baseline,0,0,0,0
15,15,baseline,0.1,0.2,early_mover,-3.34234384397294,-86.5772606729905,-644.24375608899,2121
15,15,baseline,0.1,0.2,sequential,-2.7885425562019,-106.167491756264,-722.137740359469,2239
15,15,baseline,0.1,0.2,coordinated,-4.41031382484474,-103.135090781354,-696.852386935578,2174
15,15,baseline,0.1,0.2,delayed_coordination,-4.14972674227462,-99.2492730390977,-706.805222764974,2212
15,15,high,0.2,0.4,baseline,0,0,0,0
15,15,high,0.2,0.4,early_mover,-19.9667196871565,-7.56098121398236,-229.097151043194,662
15,15,high,0.2,0.4,sequential,-24.5154724572767,-19.3374754711677,-249.710734561994,718
15,15,high,0.2,0.4,coordinated,-21.1539711392045,-28.1288058362731,-338.783377744106,948
15,15,high,0.2,0.4,delayed_coordination,-23.3305672132701,-28.7327764305633,-312.783292630792,887
16,16,low,0.05,0.1,baseline,0,0,0,0
16,16,low,0.05,0.1,early_mover,0.00263393626869401,-76.9035163986491,-616.514524090318,2123
16,16,low,0.05,0.1,sequential,-3.77196550002995,-76.3043832681226,-641.303798525957,2114
16,16,low,0.05,0.1,coordinated,-1.47277152634288,-81.7453254505793,-664.431794956554,2090
16,16,low,0.05,0.1,delayed_coordination,-1.04308647838027,-78.268160596717,-678.054130066055,2172
16,16,baseline,0.1,0.2,baseline,0,0,0,0
16,16,baseline,0.1,0.2,early_mover,-0.272616451296102,-76.9635685669395,-640.210314925696,2145
16,16,baseline,0.1,0.2,sequential,-1.65270159127518,-82.2626463575994,-700.515334253965,2202
16,16,baseline,0.1,0.2,coordinated,-10.1065552710955,-75.0523386492245,-599.952677840528,1526
16,16,baseline,0.1,0.2,delayed_coordination,0.333054511899405,-89.4452894864029,-731.778847493604,2296
16,16,high,0.2,0.4,baseline,0,0,0,0
16,16,high,0.2,0.4,early_mover,-17.4906405558358,-35.9432810480764,-287.959340836768,824
