replication,cost_regime,lowest_risk_scenario,lowest_final_risk
71,low,coordinated,178.169035287021
71,baseline,coordinated,229.462087992177
71,high,delayed_coordination,340.245813468354
72,low,sequential,187.108806392384
72,baseline,sequential,233.608761064958
72,high,coordinated,354.796464581045
73,low,early_mover,169.358667103167
73,baseline,sequential,200.765724638996
73,high,sequential,334.974339071539
74,low,coordinated,194.394367372214
74,baseline,delayed_coordination,243.096336808096
74,high,sequential,366.550474873232
75,low,delayed_coordination,187.274015614555
75,baseline,early_mover,231.641778539476
75,high,delayed_coordination,354.084994970687
76,low,coordinated,188.969206094886
76,baseline,delayed_coordination,215.991133900601
76,high,coordinated,339.516810744928
77,low,coordinated,236.213449283961
77,baseline,sequential,240.068855886503
77,high,sequential,357.413571232888
78,low,coordinated,190.422308067005
78,baseline,coordinated,232.238816725221
78,high,sequential,355.103538041992
79,low,coordinated,199.639757927337
79,baseline,delayed_coordination,239.089020383512
79,high,coordinated,382.15029315571
80,low,delayed_coordination,184.580097152241
80,baseline,coordinated,239.535465723083
80,high,coordinated,382.188559194369
81,low,delayed_coordination,170.664708453659
81,baseline,delayed_coordination,245.380616090808
81,high,coordinated,348.703751336236
82,low,delayed_coordination,186.584325362502
82,baseline,sequential,203.763806724773
82,high,sequential,345.449526179007
83,low,sequential,163.455919631126
83,baseline,delayed_coordination,223.520120053881
83,high,delayed_coordination,355.057599751011
84,low,sequential,196.120193928959
84,baseline,sequential,237.708397371152
84,high,sequential,349.06384647977
85,low,coordinated,175.646594283878
85,baseline,sequential,233.761730010688
85,high,delayed_coordination,368.975471332145
86,low,coordinated,212.805538261418
86,baseline,coordinated,236.384069456314
86,high,coordinated,347.369078869736
87,low,delayed_coordination,216.932781696281
87,baseline,sequential,242.018297131812
87,high,sequential,361.39615800974
88,low,early_mover,191.03734668293
88,baseline,delayed_coordination,226.248989008403
88,high,coordinated,354.669758612553
89,low,sequential,163.384518905635
89,baseline,coordinated,232.381959013011
89,high,coordinated,363.812096098564
90,low,delayed_coordination,183.503742184251
90,baseline,delayed_coordination,225.036211809215
90,high,sequential,360.012761988006
