replication,seed,recoveryHorizon,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
35,35,3,delayed_coordination,Delayed Coordination,111.28969778307,240.239202588225,1650.13917378108,220,4716,1581,3135
35,35,5,baseline,Baseline,125.778059174611,331.19863295218,2198.57065018691,143,3258,1129,2129
35,35,5,early_mover,Early Mover,116.852545847133,247.373084256036,1667.33923922085,255,4786,1652,3134
35,35,5,sequential,Sequential,114.969615005023,244.904687210538,1636.86643504858,258,4887,1684,3203
35,35,5,coordinated,Coordinated,115.273987075991,235.85345618497,1583.93143346109,269,5183,1727,3456
35,35,5,delayed_coordination,Delayed Coordination,112.969302054186,247.891452635697,1655.93371890948,256,4859,1660,3199
35,35,7,baseline,Baseline,125.001043239963,328.751689402592,2221.33816370604,141,3116,1084,2032
35,35,7,early_mover,Early Mover,116.498772277903,243.879755765403,1674.9623845798,257,4793,1590,3203
35,35,7,sequential,Sequential,115.053408815923,238.579272113589,1595.55016269844,283,4941,1665,3276
35,35,7,coordinated,Coordinated,117.706360774854,213.179735535844,1544.91821246857,302,5130,1706,3424
35,35,7,delayed_coordination,Delayed Coordination,113.763798394128,236.261068162454,1619.20229337155,269,4866,1602,3264
36,36,3,baseline,Baseline,125.717282280586,330.917340622206,2238.6073423195,125,3112,971,2141
36,36,3,early_mover,Early Mover,112.000633552174,257.153964726356,1772.99548058644,216,4344,1575,2769
36,36,3,sequential,Sequential,110.271430273704,253.731181600743,1725.16265799819,212,4230,1620,2610
36,36,3,coordinated,Coordinated,109.475351229581,251.106285790292,1741.3149734193,221,4415,1636,2779
36,36,3,delayed_coordination,Delayed Coordination,113.286745229908,250.927367259606,1687.04721685907,221,4442,1651,2791
36,36,5,baseline,Baseline,125.587742021243,334.854941062971,2241.76825955997,126,3092,985,2107
36,36,5,early_mover,Early Mover,116.149127061776,247.653239194459,1688.64418549948,243,4663,1652,3011
36,36,5,sequential,Sequential,113.241596548493,242.128970958874,1672.3299230356,249,4621,1702,2919
36,36,5,coordinated,Coordinated,112.120418190125,253.932781856826,1711.6904155622,230,4663,1643,3020
36,36,5,delayed_coordination,Delayed Coordination,114.015199325478,237.397255381292,1678.30897623706,242,4601,1654,2947
36,36,7,baseline,Baseline,126.520315944676,327.748713749146,2221.54332761692,130,3114,963,2151
