replication,recovery_horizon,lowest_risk_scenario,lowest_final_risk
30,7,coordinated,234.537693585603
31,3,delayed_coordination,251.175537888039
31,5,delayed_coordination,256.996811148948
31,7,delayed_coordination,256.377008700185
32,3,sequential,246.198868035835
32,5,delayed_coordination,255.547368523813
32,7,sequential,242.537269393948
33,3,delayed_coordination,243.166243835072
33,5,sequential,249.118615986281
33,7,sequential,246.482702965053
34,3,coordinated,229.797969716065
34,5,coordinated,224.294586238702
34,7,coordinated,220.482208753369
35,3,coordinated,232.083047013961
35,5,sequential,233.785882690197
35,7,coordinated,220.313247332719
36,3,sequential,249.014912910095
36,5,delayed_coordination,247.128080847031
36,7,delayed_coordination,248.541728027601
37,3,sequential,267.514257940614
37,5,sequential,263.222249280135
37,7,sequential,270.287355935934
38,3,delayed_coordination,295.801619522298
38,5,delayed_coordination,293.520116198464
38,7,sequential,292.587318728281
39,3,delayed_coordination,241.223653393451
39,5,delayed_coordination,221.598702585887
39,7,sequential,223.032343708427
40,3,coordinated,244.56110446546
40,5,delayed_coordination,246.451859214319
40,7,coordinated,248.086543491234
41,3,coordinated,260.695410238285
41,5,delayed_coordination,254.126049837351
41,7,delayed_coordination,254.214419686191
42,3,early_mover,244.950131969372
42,5,early_mover,253.376209787905
42,7,delayed_coordination,254.466159237714
43,3,delayed_coordination,227.868751160484
43,5,sequential,238.421491821186
43,7,coordinated,237.067841223497
44,3,delayed_coordination,264.605676988535
44,5,coordinated,257.963832083336
44,7,delayed_coordination,251.344385155585
45,3,delayed_coordination,262.212666735437
45,5,delayed_coordination,256.701461859219
45,7,coordinated,257.539728056611
46,3,sequential,251.927763724414
46,5,sequential,255.875952752415
46,7,delayed_coordination,257.381479395185
47,3,early_mover,240.599109219524
47,5,early_mover,218.884634912414
47,7,coordinated,234.533519461128
48,3,sequential,250.424342441162
48,5,delayed_coordination,265.556975137101
48,7,delayed_coordination,260.310221032843
49,3,coordinated,251.777028413935
49,5,coordinated,260.135717756227
49,7,delayed_coordination,226.788296189467
50,3,coordinated,241.132888761293
50,5,delayed_coordination,229.332562238895
50,7,sequential,251.024104168516
51,3,sequential,222.610054472602
51,5,coordinated,216.085908535556
51,7,coordinated,235.566734107034
52,3,early_mover,258.952001147235
52,5,early_mover,266.316376094104
52,7,early_mover,252.701062700197
53,3,coordinated,242.336781514394
53,5,sequential,223.714161652761
53,7,delayed_coordination,213.959016338824
54,3,delayed_coordination,247.69304801701
54,5,sequential,237.566073085591
54,7,coordinated,245.729411055927
55,3,delayed_coordination,235.722074786766
55,5,delayed_coordination,231.056643659542
55,7,sequential,238.280271044396
56,3,delayed_coordination,292.930798809821
56,5,sequential,307.471100420889
56,7,sequential,302.686254290648
57,3,sequential,230.584866051666
57,5,coordinated,248.401730422892
57,7,sequential,243.065446562992
