replication,seed,recovery_horizon,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
14,14,7,early_mover,sequential,6.11435190652139,5.94846658056937,8.50594271740147,211
14,14,7,early_mover,coordinated,14.2956683968975,-23.8730925249289,-147.824367509205,1022
14,14,7,early_mover,delayed_coordination,5.73662606986207,5.96825957860483,20.6521814273426,144
14,14,7,sequential,coordinated,8.18131649037609,-29.8215591054983,-156.330310226606,811
14,14,7,sequential,delayed_coordination,-0.377725836659323,0.0197929980354559,12.1462387099411,-67
14,14,7,coordinated,delayed_coordination,-8.55904232703541,29.8413521035338,168.476548936547,-878
15,15,3,early_mover,sequential,-0.330479600482846,14.2916103731143,96.1497545096968,-176
15,15,3,early_mover,coordinated,2.10817216256845,2.54227756986347,50.0321632627092,-11
15,15,3,early_mover,delayed_coordination,-0.647668598182861,20.7180629098455,87.5905602689791,-166
15,15,3,sequential,coordinated,2.4386517630513,-11.7493328032508,-46.1175912469876,165
15,15,3,sequential,delayed_coordination,-0.317188997700015,6.4264525367312,-8.55919424071772,10
15,15,3,coordinated,delayed_coordination,-2.75584076075131,18.175785339982,37.5583970062698,-155
15,15,5,early_mover,sequential,-0.553801287771037,19.5902310832736,77.8939842704792,-118
15,15,5,early_mover,coordinated,1.06796998087179,16.5578301083631,52.6086308465881,-53
15,15,5,early_mover,delayed_coordination,0.807382898301682,12.6720123661072,62.5614666759841,-91
15,15,5,sequential,coordinated,1.62177126864283,-3.0324009749105,-25.2853534238911,65
15,15,5,sequential,delayed_coordination,1.36118418607272,-6.91821871716641,-15.3325175944951,27
15,15,5,coordinated,delayed_coordination,-0.260587082570112,-3.88581774225591,9.95283582939601,-38
15,15,7,early_mover,sequential,2.93410157109651,9.10606625435037,28.0644570419452,-23
15,15,7,early_mover,coordinated,1.73606401751151,8.66867974064246,23.6155075348895,-61
15,15,7,early_mover,delayed_coordination,0.279612072013506,12.0348517000042,66.4420715756994,-28
15,15,7,sequential,coordinated,-1.198037553585,-0.437386513707906,-4.44894950705566,-38
15,15,7,sequential,delayed_coordination,-2.654489499083,2.9287854456538,38.3776145337542,-5
15,15,7,coordinated,delayed_coordination,-1.456451945498,3.36617195936171,42.8265640408099,33
16,16,3,early_mover,sequential,3.3871070738746,14.4186554416666,69.6773051746331,-108
16,16,3,early_mover,coordinated,9.99332175215159,-17.5435957192998,-77.7140377059513,406
16,16,3,early_mover,delayed_coordination,-0.127780477180949,11.6678538659631,88.1134571891976,-248
16,16,3,sequential,coordinated,6.60621467827698,-31.9622511609664,-147.391342880584,514
16,16,3,sequential,delayed_coordination,-3.51488755105555,-2.75080157570358,18.4361520145644,-140
16,16,3,coordinated,delayed_coordination,-10.1211022293325,29.2114495852629,165.827494895149,-654
16,16,5,early_mover,sequential,1.38008513997907,5.29907779065991,60.3050193282693,-57
16,16,5,early_mover,coordinated,9.83393881979936,-1.91122991771502,-40.2576370851677,619
16,16,5,early_mover,delayed_coordination,-0.605670963195507,12.4817209194635,91.5685325679078,-151
16,16,5,sequential,coordinated,8.45385367982028,-7.21030770837493,-100.562656413437,676
16,16,5,sequential,delayed_coordination,-1.98575610317458,7.18264312880356,31.2635132396385,-94
16,16,5,coordinated,delayed_coordination,-10.4396097829949,14.3929508371785,131.826169653076,-770
16,16,7,early_mover,sequential,1.38223987722333,30.1772036624225,61.7195592230782,-335
16,16,7,early_mover,coordinated,3.31307630927581,19.493445409677,20.6433694635757,11
16,16,7,early_mover,delayed_coordination,1.30912543939577,19.5733638547705,67.2374459272119,-151
16,16,7,sequential,coordinated,1.93083643205249,-10.6837582527455,-41.0761897595025,346
